elevation	error1	error2
37.4	-15.9607	20.9432
37.5	-16.0485	21.1582
37.6	-16.1366	21.3744
37.7	-16.2249	21.6789
37.8	-16.3136	21.8977
37.9	-16.4026	22.1176
38	-16.4918	22.3387
38.1	-16.5813	22.6495
38.2	-16.6711	22.8732
38.3	-16.7613	23.0982
38.4	-16.99	23.3403
38.5	-17.081	23.6575
38.6	-17.1722	23.8865
38.7	-17.2637	24.2071
38.8	-17.3555	24.4387
38.9	-17.4477	24.7626
39	-17.5401	25.0885
39.1	-17.6329	25.4161
39.2	-17.7912	25.7456
39.3	-17.9595	26.0022
39.4	-18.0534	26.3353
39.5	-18.1476	26.6702
39.6	-18.2421	27.1009
39.7	-18.337	27.4398
39.8	-18.4323	27.7806
39.9	-18.6035	28.1426
40	-18.7651	28.5827
40.1	-18.8616	28.9293
40.2	-18.9583	29.3742
40.3	-19.0553	29.8215
40.4	-19.2292	30.1949
40.5	-19.3271	30.7447
40.6	-19.4253	31.1998
40.7	-19.5238	31.7559
40.8	-19.766	32.1391
40.9	-19.8655	32.701
41	-19.9653	33.2662
41.1	-20.0655	33.9347
41.2	-20.2437	34.4287
41.3	-20.3447	35.1045
41.4	-20.4461	35.7841
41.5	-20.6143	36.5697
41.6	-20.795	37.2814
41.7	-20.8976	38.0758
41.8	-21.0007	38.9781
41.9	-21.1831	39.9107
42	-21.287	40.9278
42.1	-21.3913	42.0557
42.2	-21.6423	43.3216
42.3	-21.7476	44.7806
42.4	-21.9331	46.381
42.5	-22.0392	48.4992
42.6	-22.1458	51.5991
42.7	-22.3332	NaN
42.8	-22.5078	NaN
42.9	-22.6965	NaN
43	-22.805	NaN
43.1	-22.9951	NaN
43.2	-23.1044	NaN
43.3	-23.2142	NaN
43.4	-23.4062	NaN
43.5	-23.5845	NaN
43.6	-23.7779	NaN
43.7	-23.9721	NaN
43.8	-24.0844	NaN
43.9	-24.28	NaN
44	-24.3932	NaN
44.1	-24.6582	NaN
44.2	-24.7725	NaN
44.3	-24.9708	NaN
44.4	-25.17	NaN
44.5	-25.2859	NaN
44.6	-25.4865	NaN
44.7	-25.7563	NaN
44.8	-25.8738	NaN
44.9	-26.0767	NaN
45	-26.2804	NaN
45.1	-26.3995	NaN
45.2	-26.6047	NaN
45.3	-26.8107	NaN
45.4	-27.0863	NaN
45.5	-27.2941	NaN
45.6	-27.416	NaN
45.7	-27.6252	NaN
45.8	-27.8353	NaN
45.9	-28.1153	NaN
46	-28.3271	NaN
46.1	-28.5398	NaN
46.2	-28.7533	NaN
46.3	-28.9677	NaN
46.4	-29.1829	NaN
46.5	-29.4685	NaN
46.6	-29.6855	NaN
46.7	-29.9034	NaN
46.8	-30.1221	NaN
46.9	-30.3417	NaN
47	-30.5621	NaN
47.1	-30.9438	NaN
47.2	-31.1664	NaN
47.3	-31.3897	NaN
47.4	-31.6138	NaN
47.5	-31.9304	NaN
47.6	-32.1566	NaN
47.7	-32.5461	NaN
47.8	-32.7743	NaN
47.9	-33.0033	NaN
48	-33.3262	NaN
48.1	-33.6504	NaN
48.2	-33.8825	NaN
48.3	-34.2801	NaN
48.4	-34.5142	NaN
48.5	-34.8435	NaN
48.6	-35.1742	NaN
48.7	-35.5063	NaN
48.8	-35.9111	NaN
48.9	-36.246	NaN
49	-36.5824	NaN
49.1	-36.9201	NaN
49.2	-37.2591	NaN
49.3	-37.5996	NaN
49.4	-38.013	NaN
49.5	-38.4537	NaN
49.6	-38.7985	NaN
49.7	-39.1446	NaN
49.8	-39.5905	NaN
49.9	-40.0383	NaN
50	-40.461	NaN
50.1	-40.9124	NaN
50.2	-41.3656	NaN
50.3	-41.8207	NaN
50.4	-42.378	NaN
50.5	-42.8371	NaN
50.6	-43.4717	NaN
50.7	-43.9346	NaN
50.8	-44.5012	NaN
50.9	-45.07	NaN
51	-45.6411	NaN
51.1	-46.3904	NaN
51.2	-47.0698	NaN
51.3	-47.752	NaN
51.4	-48.4369	NaN
51.5	-49.2288	NaN
51.6	-50.024	NaN
51.7	-50.8957	NaN
51.8	-51.9082	NaN
51.9	-52.925	NaN
52	-53.9457	NaN
52.1	-55.2903	NaN
52.2	-56.6402	NaN
52.3	-58.4989	NaN
52.4	-60.83	NaN
