elevation	error1	error2
29.3	9.72698	-10.4414
29.4	9.79723	-10.5245
29.5	9.86759	-10.608
29.6	9.93813	-10.6919
29.7	10.0088	-10.7761
29.8	10.015	-10.9254
29.9	10.086	-10.9405
30	10.1571	-11.0258
30.1	10.2284	-11.1115
30.2	10.2999	-11.1975
30.3	10.3715	-11.2839
30.4	10.4433	-11.3707
30.5	10.5153	-11.4579
30.6	10.5222	-11.6108
30.7	10.5945	-11.6988
30.8	10.6669	-11.7873
30.9	10.7395	-11.8762
31	10.8123	-11.894
31.1	10.8853	-11.9835
31.2	10.9584	-12.0734
31.3	11.0318	-12.1638
31.4	11.1053	-12.2546
31.5	11.1131	-12.4118
31.6	11.1869	-12.5035
31.7	11.2609	-12.5957
31.8	11.3351	-12.6883
31.9	11.4095	-12.7813
32	11.4841	-12.8748
32.1	11.5589	-12.9688
32.2	11.6339	-13.0631
32.3	11.7091	-13.2318
32.4	11.7178	-13.394
32.5	11.7933	-13.49
32.6	11.869	-13.5865
32.7	11.9449	-13.6834
32.8	12.021	-13.7809
32.9	12.0974	-13.8787
33	12.1739	-13.9771
33.1	12.2507	-14.1513
33.2	12.3276	-14.2508
33.3	12.4676	-14.3508
33.4	12.545	-14.4513
33.5	12.6226	-14.5524
33.6	12.6327	-14.7981
33.7	12.7107	-14.9004
33.8	12.7889	-15.0032
33.9	12.8674	-15.1064
34	12.946	-15.2875
34.1	13.0249	-15.3921
34.2	13.1041	-15.4971
34.3	13.1834	-15.6806
34.4	13.2631	-15.7869
34.5	13.3429	-15.8937
34.6	13.423	-16.0797
34.7	13.5032	-16.1878
34.8	13.5838	-16.2964
34.9	13.6646	-16.4849
35	13.7456	-16.5948
35.1	13.8903	-16.7851
35.2	13.9719	-16.8963
35.3	14.0537	-17.0885
35.4	14.1357	-17.201
35.5	14.218	-17.395
35.6	14.3006	-17.5089
35.7	14.3834	-17.7047
35.8	14.4665	-17.9015
35.9	14.5499	-18.0176
36	14.6334	-18.2163
36.1	14.7173	-18.4161
36.2	14.8014	-18.5344
36.3	14.8858	-18.7361
36.4	15.0344	-18.939
36.5	15.1194	-19.1429
36.6	15.2046	-19.2642
36.7	15.2901	-19.4702
36.8	15.3759	-19.6772
36.9	15.4619	-19.8853
37	15.5483	-20.0946
37.1	15.6348	-20.305
37.2	15.7217	-20.5166
37.3	15.8089	-20.7293
37.4	15.9607	-20.9432
37.5	16.0486	-21.1582
37.6	16.1366	-21.3744
37.7	16.225	-21.6788
37.8	16.3136	-21.8976
37.9	16.4025	-22.1176
38	16.4918	-22.3388
38.1	16.5813	-22.6495
38.2	16.6711	-22.8732
38.3	16.7612	-23.0982
38.4	16.99	-23.3403
38.5	17.0809	-23.6575
38.6	17.1722	-23.8865
38.7	17.2637	-24.2071
38.8	17.3555	-24.4387
38.9	17.4477	-24.7627
39	17.5401	-25.0885
39.1	17.6329	-25.4161
39.2	17.7913	-25.7456
39.3	17.9595	-26.0023
39.4	18.0534	-26.3353
39.5	18.1476	-26.6703
39.6	18.2422	-27.1009
39.7	18.3371	-27.4398
39.8	18.4323	-27.7806
39.9	18.6035	-28.1425
40	18.7652	-28.5827
40.1	18.8616	-28.9293
40.2	18.9583	-29.3742
40.3	19.0553	-29.8215
40.4	19.2292	-30.1949
40.5	19.3271	-30.7448
40.6	19.4253	-31.1999
40.7	19.5239	-31.7559
40.8	19.766	-32.1391
40.9	19.8655	-32.701
41	19.9653	-33.2662
41.1	20.0654	-33.9347
41.2	20.2438	-34.4286
41.3	20.3448	-35.1045
41.4	20.4461	-35.7841
41.5	20.6143	-36.5697
41.6	20.795	-37.2813
41.7	20.8976	-38.0758
41.8	21.0006	-38.9781
41.9	21.183	-39.9107
42	21.287	-40.9279
42.1	21.3912	-42.0557
42.2	21.6423	-43.3215
42.3	21.7475	-44.7806
42.4	21.9331	-46.381
42.5	22.0393	-48.4992
42.6	22.1458	-51.5991
42.7	22.3332	NaN
42.8	22.5078	NaN
42.9	22.6966	NaN
43	22.805	NaN
43.1	22.9951	NaN
43.2	23.1045	NaN
43.3	23.2142	NaN
43.4	23.4062	NaN
43.5	23.5845	NaN
43.6	23.778	NaN
43.7	23.9722	NaN
43.8	24.0844	NaN
43.9	24.28	NaN
44	24.3933	NaN
44.1	24.6581	NaN
44.2	24.7725	NaN
44.3	24.9709	NaN
44.4	25.17	NaN
44.5	25.2859	NaN
44.6	25.4865	NaN
44.7	25.7563	NaN
44.8	25.8738	NaN
44.9	26.0767	NaN
45	26.2805	NaN
45.1	26.3995	NaN
45.2	26.6047	NaN
45.3	26.8107	NaN
45.4	27.0864	NaN
45.5	27.2941	NaN
45.6	27.416	NaN
45.7	27.6252	NaN
45.8	27.8353	NaN
45.9	28.1153	NaN
46	28.3271	NaN
46.1	28.5398	NaN
46.2	28.7533	NaN
46.3	28.9677	NaN
46.4	29.1829	NaN
46.5	29.4685	NaN
46.6	29.6855	NaN
46.7	29.9034	NaN
46.8	30.1221	NaN
46.9	30.3417	NaN
47	30.5621	NaN
47.1	30.9439	NaN
47.2	31.1663	NaN
47.3	31.3897	NaN
47.4	31.6139	NaN
47.5	31.9305	NaN
47.6	32.1566	NaN
47.7	32.5461	NaN
47.8	32.7743	NaN
47.9	33.0033	NaN
48	33.3262	NaN
48.1	33.6504	NaN
48.2	33.8825	NaN
48.3	34.2801	NaN
48.4	34.5142	NaN
48.5	34.8435	NaN
48.6	35.1742	NaN
48.7	35.5064	NaN
48.8	35.911	NaN
48.9	36.246	NaN
49	36.5823	NaN
49.1	36.9201	NaN
49.2	37.2592	NaN
49.3	37.5996	NaN
49.4	38.013	NaN
49.5	38.4537	NaN
49.6	38.7985	NaN
49.7	39.1447	NaN
49.8	39.5905	NaN
49.9	40.0383	NaN
50	40.461	NaN
50.1	40.9123	NaN
50.2	41.3656	NaN
50.3	41.8206	NaN
50.4	42.3781	NaN
50.5	42.8371	NaN
50.6	43.4717	NaN
50.7	43.9346	NaN
50.8	44.5011	NaN
50.9	45.07	NaN
51	45.6412	NaN
51.1	46.3904	NaN
51.2	47.0699	NaN
51.3	47.752	NaN
51.4	48.4368	NaN
51.5	49.2288	NaN
51.6	50.024	NaN
51.7	50.8958	NaN
51.8	51.9083	NaN
51.9	52.925	NaN
52	53.9457	NaN
52.1	55.2903	NaN
52.2	56.6402	NaN
52.3	58.4989	NaN
52.4	60.83	NaN
